# ----------------------------------------
# Report CSV Export
# Account: Rustom Ichhaporia
# Property: Rustom Ichhaporia - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20201022
# End date: 20211022

City,Users
Boardman,2,2,0,0,0,0,7,0,0
Cupertino,2,2,2,1,1,20.5,15,0,0
Denver,2,1,1,0.3333333333333333,0.5,46,17,0,0
Des Moines,2,2,1,0.5,0.5,17,9,0,0
Elk Grove Village,2,2,2,1,1,58,10,0,0
Hangzhou,2,2,0,0,0,1,7,0,0
Kuta Selatan,2,2,1,0.5,0.5,5,9,0,0
Lake Zurich,2,2,1,0.5,0.5,2,11,0,0
Los Altos,2,1,1,0.25,0.5,0,13,0,0
Menlo Park,2,2,1,0.5,0.5,3.5,7,0,0
Pittsburgh,2,2,1,0.5,0.5,24.5,10,0,0
Richmond Hill,2,2,1,0.5,0.5,10.5,9,0,0
San Antonio,2,2,0,0,0,0,8,0,0
Seattle,2,2,2,1,1,40,15,0,0
Sugar Grove,2,2,1,0.5,0.5,30,12,0,0
Wilmette,2,2,2,1,1,20,16,0,0
Altoona,1,1,1,1,1,0,4,0,0
Arlington Heights,1,1,1,1,1,67,5,0,0
Balashikha,1,1,1,1,1,14,9,0,0
Barrington,1,1,1,1,1,0,6,0,0
Bellevue,1,0,0,0,0,1,1,0,0
Belvidere,1,1,1,1,1,22,9,0,0
Boydton,1,1,1,1,1,23,5,0,0
Burlington,1,1,1,1,1,15,6,0,0
Crystal Lake,1,1,1,1,1,43,5,0,0
Dakar,1,1,1,1,1,23,7,0,0
Des Plaines,1,1,1,1,1,25,5,0,0
Doha,1,1,0,0,0,5,5,0,0
Dublin,1,1,1,1,1,8,5,0,0
Fayetteville,1,1,1,1,1,10,15,0,0
Forest City,1,1,0,0,0,0,3,0,0
Frankfort,1,1,1,1,1,136,13,0,0
Gainesville,1,1,1,1,1,9,5,0,0
Gibsons,1,1,1,1,1,34,4,0,0
Guwahati,1,1,0,0,0,0,3,0,0
Hackensack,1,1,1,1,1,32,8,0,0
Hawthorne,1,1,1,1,1,44,8,0,0
Houston,1,1,1,1,1,36,11,0,0
Hudson,1,1,1,1,1,32,5,0,0
Hyderabad,1,1,1,1,1,28,5,0,0
Jaipur,1,1,1,1,1,5,7,0,0
Joliet,1,1,1,1,1,162,15,0,0
Juriquilla,1,1,1,1,1,9,4,0,0
Kampala,1,1,1,1,1,27,5,0,0
Kochi,1,1,1,1,1,11,8,0,0
Kuala Lumpur,1,1,1,0.5,1,28,8,0,0
Lake Forest,1,1,1,1,1,28,6,0,0
Lisle,1,1,1,1,1,29,5,0,0
London,1,1,0,0,0,0,3,0,0
Medford,1,1,1,1,1,26,6,0,0
Milwaukee,1,0,0,0,0,18,1,0,0
Monterrey,1,1,1,0.3333333333333333,1,9,8,0,0
Montreal,1,1,1,1,1,30,7,0,0
Morgantown,1,1,1,1,1,26,6,0,0
Morton,1,0,1,1,1,45,11,0,0
Mumbai,1,1,1,1,1,117,9,0,0
Normal,1,1,1,1,1,62,8,0,0
North Brunswick Township,1,1,0,0,0,0,3,0,0
North Hampton,1,1,1,1,1,25,5,0,0
North New Hyde Park,1,1,1,1,1,11,6,0,0
Pekanbaru,1,1,1,1,1,66,7,0,0
Pekin,1,1,1,1,1,25,6,0,0
Petrosani,1,1,0,0,0,9,4,0,0
Potomac,1,1,1,1,1,17,6,0,0
Princeton,1,1,1,1,1,24,6,0,0
Prineville,1,1,0,0,0,0,3,0,0
Quincy,1,1,0,0,0,0,4,0,0
Rowland Heights,1,1,1,1,1,22,6,0,0
Shorewood,1,1,1,1,1,170,28,0,0
Shumen,1,1,1,1,1,16,5,0,0
Sofia,1,0,0,0,0,0,2,0,0
South Barrington,1,1,1,1,1,0,6,0,0
South Miami,1,1,1,1,1,57,7,0,0
St. Louis,1,1,1,1,1,34,13,0,0
Streamwood,1,0,1,1,1,27,6,0,0
Targoviste,1,1,0,0,0,11,9,0,0
Tarlac City,1,1,0,0,0,0,6,0,0
Teixeira de Freitas,1,1,1,1,1,42,7,0,0
Tinley Park,1,1,1,1,1,0,6,0,0
Tucson,1,1,1,1,1,21,5,0,0
Union Hill-Novelty Hill,1,1,2,1,2,37,11,0,0
Uttarpara,1,1,1,1,1,12,7,0,0
Wayne,1,1,1,1,1,0,4,0,0
West Falls Church,1,1,0,0,0,0,3,0,0
West Orange,1,1,1,1,1,18,6,0,0
